"";"X";"Team";"mybet";"tipico";"bet365";"betsafe";"sportingbet";"date"
"20";5;"Ingolstadt";0,100201251159221;0,111998639056678;0,150588351024951;0,105670060736117;"–";"2016-01-04"
"21";6;"Hertha BSC";0,0032403389678355;0,00447994556226712;0,00150287775474003;0,0105670060736117;"–";"2016-01-04"
"22";7;"1. FC Köln";0,0361837851408298;0,030545083379094;0,028959298274029;0,0379328423155291;"–";"2016-01-04"
"23";8;"HSV";0,0310146729778541;0,0373328796855593;0,0501961170083169;0,0547918833446531;"–";"2016-01-04"
"24";9;"Mainz 05";0,0283177448928233;0,030545083379094;0,0221453457389633;0,0308204343813674;"–";"2016-01-04"
"25";10;"Augsburg";0,0930440189335623;0,111998639056678;0,107563107874965;0,123281737525469;"–";"2016-01-04"
"26";11;"Stuttgart";0,217102710844979;0,248885864570395;0,231674386192232;0,238609814565425;"–";"2016-01-04"
"27";12;"Frankfurt";0,217102710844979;0,191997666954305;0,167320390027723;0,168111460262004;"–";"2016-01-04"
"28";13;"W. Bremen";0,289470281126638;0,292170362756551;0,273797001863547;0,273959416723266;"–";"2016-01-04"
"29";14;"Hannover";0,352058450018884;0,292170362756551;0,334640780055446;0,328751300067919;"–";"2016-01-04"
"30";15;"Hoffenheim";0,289470281126638;0,30545083379094;0,250980585041585;0,246563475050939;"–";"2016-01-04"
"31";16;"Gladbach";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-04"
"32";17;"Schalke";NA;0,00167997958585017;0,00150287775474003;0,00295876170061127;"–";"2016-01-04"
"33";18;"Leverkusen";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-04"
"34";19;"Wolfsburg";NA;0,000671991834340068;0,000752189565559195;0,000739690425152817;"–";"2016-01-04"
"35";20;"Dortmund";NA;0,000447994556226712;0,000301056279538086;0,000739690425152817;"–";"2016-01-04"
"36";21;"FC Bayern";NA;0,000268796733736027;0,000100378850169945;0,000739690425152817;"–";"2016-01-04"
"37";4;"Darmstadt";0,342793753965756;0,335995917170034;0,376470877562377;0,369845212576408;"–";"2016-01-11"
"38";5;"Ingolstadt";0,100201251159221;0,111998639056678;0,150588351024951;0,105670060736117;"–";"2016-01-11"
"39";6;"Hertha BSC";0,0032403389678355;0,00447994556226712;0,00150287775474003;0,0105670060736117;"–";"2016-01-11"
"40";7;"1. FC Köln";0,0361837851408298;0,030545083379094;0,028959298274029;0,0379328423155291;"–";"2016-01-11"
"41";8;"HSV";0,0310146729778541;0,0373328796855593;0,0501961170083169;0,0547918833446531;"–";"2016-01-11"
"42";9;"Mainz 05";0,0283177448928233;0,030545083379094;0,0221453457389633;0,0308204343813674;"–";"2016-01-11"
"43";10;"Augsburg";0,0930440189335623;0,111998639056678;0,107563107874965;0,123281737525469;"–";"2016-01-11"
"44";11;"Stuttgart";0,217102710844979;0,248885864570395;0,231674386192232;0,238609814565425;"–";"2016-01-11"
"45";12;"Frankfurt";0,217102710844979;0,191997666954305;0,167320390027723;0,168111460262004;"–";"2016-01-11"
"46";13;"W. Bremen";0,289470281126638;0,292170362756551;0,273797001863547;0,273959416723266;"–";"2016-01-11"
"47";14;"Hannover";0,352058450018884;0,292170362756551;0,334640780055446;0,328751300067919;"–";"2016-01-11"
"48";15;"Hoffenheim";0,289470281126638;0,30545083379094;0,250980585041585;0,246563475050939;"–";"2016-01-11"
"49";16;"Gladbach";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-11"
"50";17;"Schalke";NA;0,00167997958585017;0,00150287775474003;0,00295876170061127;"–";"2016-01-11"
"51";18;"Leverkusen";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-11"
"52";19;"Wolfsburg";NA;0,000671991834340068;0,000752189565559195;0,000739690425152817;"–";"2016-01-11"
"53";20;"Dortmund";NA;0,000447994556226712;0,000301056279538086;0,000739690425152817;"–";"2016-01-11"
"54";21;"FC Bayern";NA;0,000268796733736027;0,000100378850169945;0,000739690425152817;"–";"2016-01-11"
"55";4;"Darmstadt";0,342793753965756;0,335995917170034;0,376470877562377;0,369845212576408;"–";"2016-01-20"
"56";5;"Ingolstadt";0,100201251159221;0,111998639056678;0,150588351024951;0,105670060736117;"–";"2016-01-20"
"57";6;"Hertha BSC";0,0032403389678355;0,00447994556226712;0,00150287775474003;0,0105670060736117;"–";"2016-01-20"
"58";7;"1. FC Köln";0,0361837851408298;0,030545083379094;0,028959298274029;0,0379328423155291;"–";"2016-01-20"
"59";8;"HSV";0,0310146729778541;0,0373328796855593;0,0501961170083169;0,0547918833446531;"–";"2016-01-20"
"60";9;"Mainz 05";0,0283177448928233;0,030545083379094;0,0221453457389633;0,0308204343813674;"–";"2016-01-20"
"61";10;"Augsburg";0,0930440189335623;0,111998639056678;0,107563107874965;0,123281737525469;"–";"2016-01-20"
"62";11;"Stuttgart";0,217102710844979;0,248885864570395;0,231674386192232;0,238609814565425;"–";"2016-01-20"
"63";12;"Frankfurt";0,217102710844979;0,191997666954305;0,167320390027723;0,168111460262004;"–";"2016-01-20"
"64";13;"W. Bremen";0,289470281126638;0,292170362756551;0,273797001863547;0,273959416723266;"–";"2016-01-20"
"65";14;"Hannover";0,352058450018884;0,292170362756551;0,334640780055446;0,328751300067919;"–";"2016-01-20"
"66";15;"Hoffenheim";0,289470281126638;0,30545083379094;0,250980585041585;0,246563475050939;"–";"2016-01-20"
"67";16;"Gladbach";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-20"
"68";17;"Schalke";NA;0,00167997958585017;0,00150287775474003;0,00295876170061127;"–";"2016-01-20"
"69";18;"Leverkusen";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–";"2016-01-20"
"70";19;"Wolfsburg";NA;0,000671991834340068;0,000752189565559195;0,000739690425152817;"–";"2016-01-20"
"71";20;"Dortmund";NA;0,000447994556226712;0,000301056279538086;0,000739690425152817;"–";"2016-01-20"
"72";21;"FC Bayern";NA;0,000268796733736027;0,000100378850169945;0,000739690425152817;"–";"2016-01-20"
"73";4;"Darmstadt";0,305672569187868;0,293308859389797;0,215420950103555;NA;"–";"2016-01-26"
"74";5;"Ingolstadt";0,0764181422969671;0,117323543755919;0,107710475051777;NA;"–";"2016-01-26"
"75";6;"Hertha BSC";NA;0,00469294175023675;0,00150493677717054;NA;"–";"2016-01-26"
"76";7;"1. FC Köln";0,0363895915699843;0,0319973301152506;0,0502648883574961;NA;"–";"2016-01-26"
"77";8;"HSV";0,0636817852474726;0,0586617718779594;0,0753973325362441;NA;"–";"2016-01-26"
"78";9;"Mainz 05";0,0332252792595509;0,0319973301152506;0,0289989740524016;NA;"–";"2016-01-26"
"79";10;"Augsburg";0,0955226778712089;0,117323543755919;0,137086059156807;NA;"–";"2016-01-26"
"80";11;"Stuttgart";0,152836284593934;0,213315534101671;0,201059553429984;NA;"–";"2016-01-26"
"81";12;"Frankfurt";0,152836284593934;0,117323543755919;0,12566222089374;NA;"–";"2016-01-26"
"82";13;"W. Bremen";0,272921936774883;0,234647087511838;0,215420950103555;NA;"–";"2016-01-26"
"83";14;"Hannover";0,463140256345255;0,454155653248718;0,492793023112707;NA;"–";"2016-01-26"
"84";15;"Hoffenheim";0,347355192258941;0,319973301152506;0,342715147892019;NA;"–";"2016-01-26"
"85";16;"Gladbach";NA;0,00117323543755919;0,000301468742647917;NA;"–";"2016-01-26"
"86";17;"Schalke";NA;0,00175985315633878;0,00300387779028861;NA;"–";"2016-01-26"
"87";18;"Leverkusen";NA;0,00117323543755919;0,000753220105257184;NA;"–";"2016-01-26"
"88";19;"Wolfsburg";NA;0,00117323543755919;0,00150493677717054;NA;"–";"2016-01-26"
"91";4;"Darmstadt";0,311702117673563;0,304040691549332;0,231477863810428;NA;"2,10";"2016-02-04"
"92";5;"Ingolstadt";0,0831205647129501;0,104242522816914;0,136782374069798;NA;"11,0";"2016-02-04"
"94";7;"1. FC Köln";0,0356230991626929;0,0331680754417453;0,0442531210225818;NA;"41,0";"2016-02-04"
"95";8;"HSV";0,0831205647129501;0,104242522816914;0,075230305738389;NA;"17,0";"2016-02-04"
"96";9;"Mainz 05";0,032525438365937;0,0291879063887359;0,0147510403408606;NA;"67,0";"2016-02-04"
"97";10;"Augsburg";0,0935106353020689;0,104242522816914;0,136782374069798;NA;"13,0";"2016-02-04"
